Id,mszoning,bathrooms,bedrooms,finishedsqft,lastsoldyear,lastsoldprice,neighborhood,totalrooms,yearbuilt
258,RL,5,3,1604,2009,220000,CollgCr,8,2006
259,RL,4,3,1792,2008,231500,CollgCr,7,2001
260,RM,2,2,882,2008,97000,OldTown,4,1956
261,RL,3,3,1382,2009,176000,NAmes,6,1962
262,RL,7,3,2574,2007,276000,CollgCr,10,2007
263,RL,3,3,1212,2006,151000,Sawyer,6,1977
264,RM,3,3,1316,2010,130000,OldTown,6,1929
265,RM,2,2,764,2008,73000,OldTown,4,1925
266,RL,4,3,1422,2008,175500,NWAmes,7,1981
267,RL,5,3,1511,2006,185000,Gilbert,8,1997
268,RL,4,4,2192,2008,179500,SWISU,8,1939
269,RM,2,2,778,2008,120500,IDOTRR,4,1940
270,RL,3,3,1113,2007,148000,Edwards,6,1976
271,FV,5,3,1939,2006,266000,Somerst,8,2006
272,RL,3,2,1363,2008,241500,ClearCr,5,1954
273,RL,5,4,2270,2010,290000,NoRidge,9,1999
274,RL,3,3,1632,2009,139000,NAmes,6,1958
275,RL,3,2,816,2007,124500,Mitchel,5,1982
276,RL,2,3,1548,2009,205000,BrkSide,5,1925
277,RL,4,3,1560,2010,201000,Mitchel,7,2003
278,RL,2,2,864,2010,141000,Gilbert,4,1951
279,RL,5,3,2121,2007,415298,NridgHt,8,2006
280,RL,4,4,2022,2008,192000,ClearCr,8,1977
281,RL,4,3,1982,2007,228500,SawyerW,7,1989
282,FV,3,2,1262,2006,185000,Somerst,5,2006
283,RL,4,2,1314,2009,207500,NridgHt,6,2007
284,RL,3,3,1468,2009,244600,Somerst,6,2008
285,RL,3,2,1575,2007,179200,SawyerW,5,1992
286,FV,3,2,1250,2007,164700,Somerst,5,2006
287,RL,4,3,1734,2006,159000,NAmes,7,1962
288,RL,2,3,858,2006,88000,NAmes,5,1971
289,RL,2,3,900,2010,122000,Sawyer,5,1967
290,RL,4,3,1396,2007,153575,BrkSide,7,1915
291,RL,5,3,1919,2006,233230,CollgCr,8,2006
292,RL,3,6,1716,2008,135900,SWISU,9,1912
293,RL,5,3,1716,2009,131000,Edwards,8,1949
294,RL,6,3,2263,2006,235000,NWAmes,9,1977
295,RL,4,3,1644,2009,167000,NAmes,7,1953
296,RL,3,3,1003,2006,142500,Mitchel,6,1984
297,RM,2,4,1558,2007,152000,IDOTRR,6,1950
298,FV,4,3,1950,2007,239000,Somerst,7,1997
299,RL,4,3,1743,2007,175000,NWAmes,7,1968
300,RL,3,3,1152,2009,158500,Crawfor,6,1950
301,RL,3,2,1336,2006,157000,Crawfor,5,1953
302,RL,5,4,2452,2007,267000,CollgCr,9,1998
303,RL,3,3,1541,2006,205000,CollgCr,6,2001
304,RL,2,3,894,2006,149900,CollgCr,5,1972
305,RM,7,3,3493,2008,295000,OldTown,10,1880
306,RL,5,3,2000,2007,305900,CollgCr,8,2004
307,RL,4,4,2243,2007,225000,SawyerW,8,1990
308,RM,3,3,1406,2008,89500,IDOTRR,6,1920
309,RL,3,1,861,2009,82500,Edwards,4,1940
310,RL,5,3,1944,2006,360000,NridgHt,8,2003
311,RL,3,3,1501,2006,165600,Gilbert,6,1993
312,RL,3,2,972,2009,132000,NAmes,5,1948
313,RM,2,3,1118,2006,119900,OldTown,5,1939
314,RL,5,3,2036,2009,375000,Timber,8,1965
315,RM,3,3,1641,2006,178000,OldTown,6,1925
316,RL,3,3,1432,2009,188500,Gilbert,6,2004
317,RL,6,4,2353,2009,260000,NWAmes,10,1980
318,FV,5,3,1959,2007,270000,Somerst,8,2006
319,RL,5,4,2646,2009,260000,NoRidge,9,1993
320,RL,3,3,1472,2009,187500,NWAmes,6,1980
321,RL,5,4,2596,2006,342643,NridgHt,9,2006
322,RL,6,4,2468,2007,354000,NridgHt,10,2004
323,RL,4,4,2730,2007,301000,SawyerW,8,1986
324,RM,3,3,1163,2006,126175,OldTown,6,1955
325,RL,6,5,2978,2010,242000,NAmes,11,1967
326,RM,3,2,803,2007,87000,IDOTRR,5,1941
327,RL,5,1,1719,2008,324000,Veenker,6,1993
328,RL,4,3,1383,2006,145250,NAmes,7,1960
329,RL,5,5,2134,2009,214500,BrkSide,10,1916
330,RM,3,3,1192,2009,78000,IDOTRR,6,1920
331,RL,4,6,1728,2007,119000,NAmes,10,1964
332,RL,3,3,1056,2007,139000,NAmes,6,1958
333,RL,4,3,1629,2009,284000,NridgHt,7,2003
334,RM,4,2,1358,2008,207000,NridgHt,6,2004
335,RL,4,3,1638,2008,192000,Gilbert,7,1998
336,RL,4,3,1786,2008,228950,Timber,7,1965
337,RL,5,3,1922,2007,377426,StoneBr,8,2005
338,RL,4,3,1536,2008,214000,CollgCr,7,2002
339,RL,5,3,1621,2006,202500,NWAmes,8,1984
340,RL,3,3,1215,2009,155000,NAmes,6,1958
341,RL,5,4,1908,2010,202900,Timber,9,2002
342,RH,2,2,841,2009,82000,SawyerW,4,1950
343,RL,4,2,1040,2006,87500,NAmes,6,1949
344,RL,4,2,1684,2008,266000,NridgHt,6,2005
345,RM,1,3,1112,2010,85000,MeadowV,4,1976
346,RL,3,3,1577,2006,140200,BrkSide,6,1939
347,RL,3,2,958,2007,151500,NAmes,5,1960
348,RL,3,3,1478,2009,157500,NAmes,6,1960
349,RL,4,2,1626,2008,154000,NridgHt,6,2003
350,RL,6,4,2728,2006,437154,NridgHt,10,2005
351,RL,4,2,1869,2007,318061,NridgHt,6,2007
352,RL,4,2,1453,2006,190000,ClearCr,6,1986
353,RL,2,3,1111,2008,95000,Edwards,5,1941
354,RM,3,2,720,2010,105900,OldTown,5,1928
355,RL,4,2,1595,2006,140000,SWISU,6,1940
356,RL,3,3,1200,2007,177500,CollgCr,6,1995
357,RL,3,3,1167,2009,173000,Gilbert,6,1992
358,RM,3,3,1142,2007,134000,MeadowV,6,1976
359,RL,3,3,1352,2006,130000,ClearCr,6,1958
360,RL,4,3,1924,2006,280000,NoRidge,7,1998
361,RL,3,2,912,2007,156000,Mitchel,5,1978
362,RL,5,3,1505,2008,145000,BrkSide,8,1940
363,RL,3,4,1922,2009,198500,Edwards,7,2003
364,RM,3,2,987,2009,118000,BrDale,5,1972
365,RL,3,3,1574,2006,190000,NWAmes,6,1976
366,RM,3,3,1344,2009,147000,IDOTRR,6,1920
367,RL,3,3,1394,2009,159000,NAmes,6,1963
368,RL,3,3,1431,2008,165000,NAmes,6,1962
369,RL,5,2,1268,2010,132000,NAmes,7,1954
370,RL,4,3,1287,2010,162000,NAmes,7,1959
371,RL,4,3,1664,2006,172400,Gilbert,7,2000
372,RL,3,4,1588,2008,134432,ClearCr,7,1959
373,RL,2,2,752,2010,125000,SawyerW,4,1984
374,RL,2,3,1319,2009,123000,NAmes,5,1953
375,RL,4,4,1928,2007,219500,CollgCr,8,2003
376,RL,3,1,904,2009,61000,Edwards,4,1922
377,RL,3,2,914,2006,148000,CollgCr,5,1996
378,FV,4,4,2466,2007,340000,Somerst,8,2004
379,RL,7,1,1856,2010,394432,StoneBr,8,2010
380,RL,4,3,1800,2009,179000,Gilbert,7,2000
381,RL,3,3,1691,2010,127000,SWISU,6,1924
382,FV,3,2,1301,2006,187750,Somerst,5,2006
383,RL,5,3,1797,2007,213500,CollgCr,8,2006
384,RH,3,2,784,2009,76000,SawyerW,5,1928
385,RL,6,3,1953,2007,240000,ClearCr,9,1992
386,RL,4,2,1269,2010,192000,Blmngtn,6,2004
387,RL,3,5,1184,2006,81000,Edwards,8,1910
388,RL,3,3,1125,2009,125000,Edwards,6,1976
389,RL,3,3,1479,2008,191000,CollgCr,6,1999
390,RL,6,3,2332,2008,426000,NridgHt,9,2007
391,RL,3,4,1367,2008,119000,Edwards,7,1900
392,RL,4,3,1961,2009,215000,Mitchel,7,2001
393,RL,2,3,882,2007,106500,NAmes,5,1959
394,RL,2,2,788,2006,100000,BrkSide,4,1941
395,RL,3,2,1034,2007,109000,OldTown,5,1940
396,RL,3,3,1144,2010,129000,Edwards,6,1956
397,RL,4,2,894,2009,123000,CollgCr,6,1972
398,RL,4,4,1812,2007,169500,NAmes,8,1962
399,RM,4,2,1077,2007,67000,IDOTRR,6,1920
400,FV,5,2,1550,2009,241000,Somerst,7,2006
401,RL,3,1,1288,2008,245500,Veenker,4,1996
402,RL,3,3,1310,2006,164990,CollgCr,6,2005
403,RL,2,2,672,2008,108000,Sawyer,4,1940
404,RL,6,4,2263,2006,258000,NoRidge,10,1998
405,RL,4,3,1572,2007,168000,Gilbert,7,1995
406,RL,5,3,1620,2009,150000,Sawyer,8,1976
407,RL,3,3,1639,2008,115000,SWISU,6,1936
408,RL,4,4,1680,2008,177000,Crawfor,8,1915
409,RL,6,3,2172,2007,280000,NridgHt,9,2006
410,FV,5,3,2078,2008,339750,Somerst,8,2007
411,RL,2,3,1276,2009,60000,Edwards,5,1958
412,RL,2,3,1056,2006,145000,Gilbert,5,1955
413,FV,5,2,1478,2010,222000,Somerst,7,2009
414,RM,3,2,1028,2010,115000,OldTown,5,1927
415,RL,6,3,2097,2008,228000,SawyerW,9,1993
416,RL,3,3,1340,2007,181134,Gilbert,6,2007
417,RL,3,3,1400,2006,149500,Sawyer,6,1978
418,RL,6,4,2624,2007,239000,Crawfor,10,1918
419,RL,4,3,1134,2007,126000,Edwards,7,1940
420,RL,3,3,1056,2010,142000,NAmes,6,1968
421,RM,6,2,1344,2008,206300,Mitchel,8,1997
422,RL,5,3,1602,2009,215000,NWAmes,8,1977
423,RL,2,2,988,2008,113000,Mitchel,4,1954
424,RL,4,4,2630,2008,315000,NoRidge,8,1998
425,RL,4,2,1196,2008,139000,NAmes,6,1956
426,RM,3,3,1389,2009,135000,OldTown,6,1946
427,RL,3,2,1644,2009,275000,SawyerW,5,1989
428,RL,2,3,907,2008,109008,NAmes,5,1957
429,RL,4,2,1208,2007,195400,CollgCr,6,2007
430,RL,3,3,1412,2009,175000,Timber,6,1988
431,RM,2,2,987,2008,85400,BrDale,4,1971
432,RM,3,4,1198,2008,79900,OldTown,7,1920
433,RM,4,2,1365,2007,122500,BrDale,6,1971
434,RL,4,3,1604,2008,181000,Gilbert,7,1997
435,RM,2,1,630,2008,81000,MeadowV,3,1972
436,RL,3,3,1661,2009,212000,CollgCr,6,1996
437,RM,4,2,1118,2006,116000,OldTown,6,1920
438,RM,2,2,904,2009,119000,BrkSide,4,1926
439,RL,2,2,694,2007,90350,Crawfor,4,1913
440,RL,4,3,1196,2009,110000,Edwards,7,1920
441,RL,8,2,2402,2009,555000,NridgHt,10,2008
442,RL,4,4,1440,2008,118000,Edwards,8,1955
443,RM,5,3,1573,2008,162900,BrkSide,8,1930
444,RL,4,2,1258,2007,172500,Blmngtn,6,2006
445,RL,4,4,1908,2008,210000,CollgCr,8,1994
446,RL,4,3,1689,2009,127500,Edwards,7,1956
447,RL,4,2,1888,2010,190000,NAmes,6,1966
448,RL,6,4,1886,2006,199900,Gilbert,10,1998
449,RM,4,3,1376,2006,119500,IDOTRR,7,1937
450,RM,4,2,1183,2007,120000,OldTown,6,1948
451,RM,3,2,813,2006,110000,OldTown,5,1930
452,RL,3,2,1533,2006,280000,ClearCr,5,1975
453,RL,4,3,1756,2007,204000,Timber,7,1996
454,FV,3,3,1590,2009,210000,Somerst,6,2008
455,RL,4,4,1728,2006,188000,Mitchel,8,1976
456,RL,3,3,1242,2007,175500,NWAmes,6,1973
457,RM,3,4,1344,2008,98000,OldTown,7,1916
458,RL,4,2,1663,2008,256000,ClearCr,6,1954
459,RM,4,3,1666,2008,161000,OldTown,7,1925
460,RL,2,3,1203,2009,110000,BrkSide,5,1950
461,FV,5,3,1935,2009,263435,Somerst,8,2009
462,RL,3,3,1135,2009,155000,SWISU,6,1936
463,RL,2,3,864,2009,62383,Sawyer,5,1965
464,RL,3,3,1660,2008,188700,Crawfor,6,1934
465,RL,2,3,1040,2009,124000,CollgCr,5,1978
466,RM,4,2,1414,2006,178740,Blmngtn,6,2004
467,RL,3,2,1277,2007,167000,NAmes,5,1970
468,RL,4,3,1644,2007,146500,NAmes,7,1942
469,RL,4,3,1634,2007,250000,NridgHt,7,2006
470,RL,4,3,1710,2008,187000,SawyerW,7,1993
471,RL,3,1,1502,2010,212000,StoneBr,4,1985
472,RL,5,3,1969,2007,190000,NWAmes,8,1977
473,RM,3,2,1072,2008,148000,Edwards,5,2005
474,RL,5,2,1976,2007,440000,NridgHt,7,2006
475,RL,4,2,1652,2007,251000,StoneBr,6,2000
476,RL,3,2,970,2007,132500,Sawyer,5,1963
477,RL,4,3,1493,2008,208900,CollgCr,7,1997
478,RL,6,3,2643,2007,380000,NridgHt,9,2006
479,RL,4,3,1718,2009,297000,CollgCr,7,2007
480,RM,5,2,1131,2007,89471,OldTown,7,1937
481,RL,5,3,1850,2006,326000,NridgHt,8,2004
482,RL,4,2,1792,2006,374000,NridgHt,6,2003
483,RM,3,4,1826,2009,155000,OldTown,7,1915
484,RM,3,2,1216,2006,164000,Mitchel,5,1998
485,RL,3,3,999,2007,132500,Sawyer,6,1962
486,RL,2,3,1113,2009,147000,NAmes,5,1950
487,RL,3,3,1073,2007,156000,NAmes,6,1965
